age,job,marital,education,default,balance,housing,loan,contact,date,duration,campaign,pdays,previous,poutcome,Purchased?
25,blue-collar,married,secondary,no,-7,yes,no,unknown,5/5/2017,365,1,-1,0,unknown,no
53,technician,married,secondary,no,-3,no,no,unknown,5/5/2017,1666,1,-1,0,unknown,no
36,admin.,divorced,secondary,no,506,yes,no,unknown,5/5/2017,577,1,-1,0,unknown,no
37,admin.,single,secondary,no,0,yes,no,unknown,5/5/2017,137,1,-1,0,unknown,no
44,services,divorced,secondary,no,2586,yes,no,unknown,5/5/2017,160,1,-1,0,unknown,no
50,management,married,secondary,no,49,yes,no,unknown,5/5/2017,180,2,-1,0,unknown,no
60,blue-collar,married,unknown,no,104,yes,no,unknown,5/5/2017,22,1,-1,0,unknown,no
54,retired,married,secondary,no,529,yes,no,unknown,5/5/2017,1492,1,-1,0,unknown,no
58,retired,married,unknown,no,96,yes,no,unknown,5/5/2017,616,1,-1,0,unknown,no
36,admin.,single,primary,no,-171,yes,no,unknown,5/5/2017,242,1,-1,0,unknown,no
58,self-employed,married,tertiary,no,-364,yes,no,unknown,5/5/2017,355,1,-1,0,unknown,no
44,technician,married,secondary,no,0,yes,no,unknown,5/5/2017,225,2,-1,0,unknown,no
55,technician,divorced,secondary,no,0,no,no,unknown,5/5/2017,160,1,-1,0,unknown,no
29,management,single,tertiary,no,0,yes,no,unknown,5/5/2017,363,1,-1,0,unknown,no
54,blue-collar,married,secondary,no,1291,yes,no,unknown,5/5/2017,266,1,-1,0,unknown,no
48,management,divorced,tertiary,no,-244,yes,no,unknown,5/5/2017,253,1,-1,0,unknown,no
32,management,married,tertiary,no,0,yes,no,unknown,5/5/2017,179,1,-1,0,unknown,no
42,admin.,single,secondary,no,-76,yes,no,unknown,5/5/2017,787,1,-1,0,unknown,no
24,technician,single,secondary,no,-103,yes,yes,unknown,5/5/2017,145,1,-1,0,unknown,no
38,entrepreneur,single,tertiary,no,243,no,yes,unknown,5/5/2017,174,1,-1,0,unknown,no
38,management,single,tertiary,no,424,yes,no,unknown,5/5/2017,104,1,-1,0,unknown,no
47,blue-collar,married,unknown,no,306,yes,no,unknown,5/5/2017,13,1,-1,0,unknown,no
40,blue-collar,single,unknown,no,24,yes,no,unknown,5/5/2017,185,1,-1,0,unknown,no
46,services,married,primary,no,179,yes,no,unknown,5/5/2017,1778,1,-1,0,unknown,no
32,admin.,married,tertiary,no,0,yes,no,unknown,5/5/2017,138,1,-1,0,unknown,no
53,technician,divorced,secondary,no,989,yes,no,unknown,5/5/2017,812,1,-1,0,unknown,no
57,blue-collar,married,primary,no,249,yes,no,unknown,5/5/2017,164,1,-1,0,unknown,no
33,services,married,secondary,no,790,yes,no,unknown,5/5/2017,391,1,-1,0,unknown,no
49,blue-collar,married,unknown,no,154,yes,no,unknown,5/5/2017,357,1,-1,0,unknown,no
51,management,married,tertiary,no,6530,yes,no,unknown,5/5/2017,91,1,-1,0,unknown,no
60,retired,married,tertiary,no,100,no,no,unknown,5/5/2017,528,1,-1,0,unknown,no
59,management,divorced,tertiary,no,59,yes,no,unknown,5/5/2017,273,1,-1,0,unknown,no
55,technician,married,secondary,no,1205,yes,no,unknown,5/5/2017,158,2,-1,0,unknown,no
35,blue-collar,single,secondary,no,12223,yes,yes,unknown,5/5/2017,177,1,-1,0,unknown,no
57,blue-collar,married,secondary,no,5935,yes,yes,unknown,5/5/2017,258,1,-1,0,unknown,no
31,services,married,secondary,no,25,yes,yes,unknown,5/5/2017,172,1,-1,0,unknown,no
54,management,married,secondary,no,282,yes,yes,unknown,5/5/2017,154,1,-1,0,unknown,no
55,blue-collar,married,primary,no,23,yes,no,unknown,5/5/2017,291,1,-1,0,unknown,no
43,technician,married,secondary,no,1937,yes,no,unknown,5/5/2017,181,1,-1,0,unknown,no
53,technician,married,secondary,no,384,yes,no,unknown,5/5/2017,176,1,-1,0,unknown,no
44,blue-collar,married,secondary,no,582,no,yes,unknown,5/5/2017,211,1,-1,0,unknown,no
55,services,divorced,secondary,no,91,no,no,unknown,5/5/2017,349,1,-1,0,unknown,no
49,services,divorced,secondary,no,0,yes,yes,unknown,5/5/2017,272,1,-1,0,unknown,no
55,services,divorced,secondary,yes,1,yes,no,unknown,5/5/2017,208,1,-1,0,unknown,no
45,admin.,single,secondary,no,206,yes,no,unknown,5/5/2017,193,1,-1,0,unknown,no
47,services,divorced,secondary,no,164,no,no,unknown,5/5/2017,212,1,-1,0,unknown,no
42,technician,single,secondary,no,690,yes,no,unknown,5/5/2017,20,1,-1,0,unknown,no
59,admin.,married,secondary,no,2343,yes,no,unknown,5/5/2017,1042,1,-1,0,unknown,yes
46,self-employed,married,tertiary,no,137,yes,yes,unknown,5/5/2017,246,1,-1,0,unknown,no
51,blue-collar,married,primary,no,173,yes,no,unknown,5/5/2017,529,2,-1,0,unknown,no
56,admin.,married,secondary,no,45,no,no,unknown,5/5/2017,1467,1,-1,0,unknown,yes
41,technician,married,secondary,no,1270,yes,no,unknown,5/5/2017,1389,1,-1,0,unknown,yes
46,management,divorced,secondary,no,16,yes,yes,unknown,5/5/2017,188,2,-1,0,unknown,no
57,retired,married,secondary,no,486,yes,no,unknown,5/5/2017,180,2,-1,0,unknown,no
42,management,single,secondary,no,50,no,no,unknown,5/5/2017,48,1,-1,0,unknown,no
30,technician,married,secondary,no,152,yes,yes,unknown,5/5/2017,213,2,-1,0,unknown,no
60,admin.,married,secondary,no,290,yes,no,unknown,5/5/2017,583,1,-1,0,unknown,no
60,blue-collar,married,unknown,no,54,yes,no,unknown,5/5/2017,221,1,-1,0,unknown,no
57,entrepreneur,divorced,secondary,no,-37,no,no,unknown,5/5/2017,173,1,-1,0,unknown,no
36,management,married,tertiary,no,101,yes,yes,unknown,5/5/2017,426,1,-1,0,unknown,no
55,blue-collar,married,secondary,no,383,no,no,unknown,5/5/2017,287,1,-1,0,unknown,no
60,retired,married,tertiary,no,81,yes,no,unknown,5/5/2017,101,1,-1,0,unknown,no
39,technician,married,secondary,no,0,yes,no,unknown,5/5/2017,203,1,-1,0,unknown,no
46,management,married,tertiary,no,229,yes,no,unknown,5/5/2017,197,1,-1,0,unknown,no
44,blue-collar,married,secondary,no,-674,yes,no,unknown,5/5/2017,257,1,-1,0,unknown,no
53,blue-collar,married,primary,no,90,no,no,unknown,5/5/2017,124,1,-1,0,unknown,no
52,blue-collar,married,primary,no,128,yes,no,unknown,5/5/2017,229,1,-1,0,unknown,no
59,blue-collar,married,primary,no,179,yes,no,unknown,5/5/2017,55,3,-1,0,unknown,no
27,technician,single,tertiary,no,0,yes,no,unknown,5/5/2017,400,1,-1,0,unknown,no
44,blue-collar,married,secondary,no,54,yes,no,unknown,5/5/2017,197,1,-1,0,unknown,no
47,technician,married,tertiary,no,151,yes,no,unknown,5/5/2017,190,1,-1,0,unknown,no
34,admin.,married,secondary,no,61,no,yes,unknown,5/5/2017,21,1,-1,0,unknown,no
59,retired,single,secondary,no,30,yes,no,unknown,5/5/2017,514,1,-1,0,unknown,no
45,management,married,tertiary,no,523,yes,no,unknown,5/5/2017,849,2,-1,0,unknown,no
29,services,divorced,secondary,no,31,yes,no,unknown,5/5/2017,194,1,-1,0,unknown,no
46,technician,divorced,secondary,no,79,no,no,unknown,5/5/2017,144,1,-1,0,unknown,no
56,self-employed,married,primary,no,-34,yes,yes,unknown,5/5/2017,212,2,-1,0,unknown,no
36,blue-collar,married,primary,no,448,yes,no,unknown,5/5/2017,286,1,-1,0,unknown,no
59,retired,divorced,primary,no,81,yes,no,unknown,5/5/2017,107,1,-1,0,unknown,no
44,blue-collar,married,secondary,no,144,yes,no,unknown,5/5/2017,247,2,-1,0,unknown,no
41,admin.,married,secondary,no,351,yes,no,unknown,5/5/2017,518,1,-1,0,unknown,no
33,management,single,tertiary,no,-67,yes,no,unknown,5/5/2017,364,1,-1,0,unknown,no
59,management,divorced,tertiary,no,262,no,no,unknown,5/5/2017,178,1,-1,0,unknown,no
57,technician,married,primary,no,0,no,no,unknown,5/5/2017,98,1,-1,0,unknown,no
56,technician,divorced,unknown,no,56,yes,no,unknown,5/5/2017,439,1,-1,0,unknown,no
51,blue-collar,married,secondary,no,26,yes,no,unknown,5/5/2017,79,1,-1,0,unknown,no
34,admin.,married,unknown,no,3,yes,no,unknown,5/5/2017,120,3,-1,0,unknown,no
43,services,married,secondary,no,41,yes,yes,unknown,5/5/2017,127,2,-1,0,unknown,no
52,technician,married,tertiary,no,7,no,yes,unknown,5/5/2017,175,1,-1,0,unknown,no
33,technician,single,secondary,no,105,yes,no,unknown,5/5/2017,262,2,-1,0,unknown,no
29,admin.,single,secondary,no,818,yes,yes,unknown,5/5/2017,61,1,-1,0,unknown,no
34,services,married,secondary,no,-16,yes,yes,unknown,5/5/2017,78,1,-1,0,unknown,no
31,blue-collar,married,secondary,no,0,yes,no,unknown,5/5/2017,143,1,-1,0,unknown,no
55,services,married,secondary,no,2476,yes,no,unknown,5/5/2017,579,1,-1,0,unknown,yes
55,management,married,unknown,no,1185,no,no,unknown,5/5/2017,677,1,-1,0,unknown,no
32,admin.,single,secondary,no,217,yes,no,unknown,5/5/2017,345,1,-1,0,unknown,no
38,technician,single,secondary,no,1685,yes,no,unknown,5/5/2017,185,1,-1,0,unknown,no
55,admin.,single,secondary,no,802,yes,yes,unknown,5/5/2017,100,2,-1,0,unknown,no
28,unemployed,single,tertiary,no,0,yes,no,unknown,5/5/2017,125,2,-1,0,unknown,no
23,blue-collar,married,secondary,no,94,yes,no,unknown,5/5/2017,193,1,-1,0,unknown,no
32,technician,single,secondary,no,0,yes,no,unknown,5/5/2017,136,1,-1,0,unknown,no
43,services,single,unknown,no,0,no,no,unknown,5/5/2017,73,1,-1,0,unknown,no
32,blue-collar,married,secondary,no,517,yes,no,unknown,5/5/2017,528,1,-1,0,unknown,no
46,blue-collar,married,secondary,no,265,yes,no,unknown,5/5/2017,541,1,-1,0,unknown,no
53,housemaid,divorced,primary,no,947,yes,no,unknown,5/5/2017,163,1,-1,0,unknown,no
34,self-employed,single,secondary,no,3,yes,no,unknown,5/5/2017,301,1,-1,0,unknown,no
57,unemployed,married,tertiary,no,42,no,no,unknown,5/5/2017,46,1,-1,0,unknown,no
37,blue-collar,married,secondary,no,37,yes,no,unknown,5/5/2017,204,1,-1,0,unknown,no
59,blue-collar,married,secondary,no,57,yes,no,unknown,5/5/2017,98,1,-1,0,unknown,no
33,services,married,secondary,no,22,yes,no,unknown,5/5/2017,71,1,-1,0,unknown,no
56,blue-collar,divorced,primary,no,8,yes,no,unknown,5/5/2017,157,2,-1,0,unknown,no
48,unemployed,married,secondary,no,293,yes,no,unknown,5/5/2017,243,1,-1,0,unknown,no
43,services,married,primary,no,3,yes,no,unknown,5/5/2017,186,2,-1,0,unknown,no
54,blue-collar,married,primary,no,348,yes,no,unknown,5/5/2017,579,2,-1,0,unknown,no
51,blue-collar,married,unknown,no,-19,yes,no,unknown,5/5/2017,163,2,-1,0,unknown,no
26,student,single,secondary,no,0,yes,no,unknown,5/5/2017,610,2,-1,0,unknown,no
40,management,married,tertiary,no,-4,yes,no,unknown,5/5/2017,2033,1,-1,0,unknown,no
39,management,married,secondary,no,18,yes,no,unknown,5/5/2017,85,1,-1,0,unknown,no
50,technician,married,primary,no,139,no,no,unknown,5/5/2017,114,2,-1,0,unknown,no
41,services,married,secondary,no,0,yes,no,unknown,5/5/2017,114,2,-1,0,unknown,no
51,blue-collar,married,unknown,no,1883,yes,no,unknown,5/5/2017,57,1,-1,0,unknown,no
60,retired,divorced,secondary,no,216,yes,no,unknown,5/5/2017,238,1,-1,0,unknown,no
52,blue-collar,married,secondary,no,782,yes,no,unknown,5/5/2017,93,3,-1,0,unknown,no
48,blue-collar,married,secondary,no,904,yes,no,unknown,5/5/2017,128,2,-1,0,unknown,no
48,services,married,unknown,no,1705,yes,no,unknown,5/5/2017,107,1,-1,0,unknown,no
39,technician,single,tertiary,no,47,yes,no,unknown,5/5/2017,181,1,-1,0,unknown,no
47,services,single,secondary,no,176,yes,no,unknown,5/5/2017,303,2,-1,0,unknown,no
40,blue-collar,married,secondary,no,1225,yes,no,unknown,5/5/2017,558,5,-1,0,unknown,no
45,technician,married,secondary,no,86,yes,no,unknown,5/5/2017,270,1,-1,0,unknown,no
26,admin.,single,secondary,no,82,yes,no,unknown,5/5/2017,228,1,-1,0,unknown,no
52,management,married,tertiary,no,271,yes,no,unknown,5/5/2017,99,1,-1,0,unknown,no
54,technician,married,secondary,no,1378,yes,no,unknown,5/5/2017,240,1,-1,0,unknown,no
54,admin.,married,tertiary,no,184,no,no,unknown,5/5/2017,673,2,-1,0,unknown,yes
50,blue-collar,married,primary,no,0,no,no,unknown,5/5/2017,233,3,-1,0,unknown,no
35,blue-collar,married,secondary,no,0,yes,no,unknown,5/5/2017,1056,1,-1,0,unknown,no
44,services,married,secondary,no,1357,yes,yes,unknown,5/5/2017,250,1,-1,0,unknown,no
53,entrepreneur,married,unknown,no,19,yes,no,unknown,5/5/2017,252,1,-1,0,unknown,no
35,retired,single,primary,no,434,no,no,unknown,5/5/2017,138,1,-1,0,unknown,no
60,admin.,divorced,secondary,no,92,yes,no,unknown,5/5/2017,130,1,-1,0,unknown,no
53,admin.,divorced,secondary,no,1151,yes,no,unknown,5/5/2017,412,1,-1,0,unknown,no
48,unemployed,married,secondary,no,41,yes,no,unknown,5/5/2017,179,2,-1,0,unknown,no
34,technician,married,secondary,no,51,yes,no,unknown,5/5/2017,19,2,-1,0,unknown,no
54,services,married,secondary,no,214,yes,no,unknown,5/5/2017,458,2,-1,0,unknown,no
51,management,married,secondary,no,1161,yes,no,unknown,5/5/2017,717,1,-1,0,unknown,no
31,services,married,tertiary,no,37,yes,no,unknown,5/5/2017,313,1,-1,0,unknown,no
35,technician,divorced,secondary,no,787,yes,no,unknown,5/5/2017,683,2,-1,0,unknown,no
35,services,married,secondary,no,59,yes,no,unknown,5/5/2017,1077,1,-1,0,unknown,no
38,technician,married,secondary,no,253,yes,no,unknown,5/5/2017,416,1,-1,0,unknown,no
36,admin.,married,tertiary,no,211,yes,no,unknown,5/5/2017,146,2,-1,0,unknown,no
58,retired,married,primary,no,235,yes,no,unknown,5/5/2017,167,1,-1,0,unknown,no
40,services,divorced,unknown,no,4384,yes,no,unknown,5/5/2017,315,1,-1,0,unknown,no
54,management,married,secondary,no,4080,no,no,unknown,5/5/2017,140,1,-1,0,unknown,no
34,blue-collar,single,secondary,no,53,yes,yes,unknown,5/5/2017,346,1,-1,0,unknown,no
31,management,single,tertiary,no,0,yes,no,unknown,5/5/2017,562,1,-1,0,unknown,no
51,retired,married,secondary,no,2127,yes,no,unknown,5/5/2017,172,1,-1,0,unknown,no
33,management,married,tertiary,no,377,yes,no,unknown,5/5/2017,217,1,-1,0,unknown,no
55,management,married,tertiary,no,73,yes,no,unknown,5/5/2017,142,2,-1,0,unknown,no
42,admin.,married,secondary,no,445,yes,no,unknown,5/5/2017,67,1,-1,0,unknown,no
34,blue-collar,married,secondary,no,243,yes,no,unknown,5/5/2017,291,1,-1,0,unknown,no
33,blue-collar,single,secondary,no,307,yes,no,unknown,5/5/2017,309,2,-1,0,unknown,no
38,services,married,secondary,no,155,yes,no,unknown,5/5/2017,248,1,-1,0,unknown,no
50,technician,divorced,tertiary,no,173,no,yes,unknown,5/5/2017,98,1,-1,0,unknown,no
43,management,married,tertiary,no,400,yes,no,unknown,5/5/2017,256,1,-1,0,unknown,no
61,blue-collar,divorced,primary,no,1428,yes,no,unknown,5/5/2017,82,2,-1,0,unknown,no
47,admin.,married,secondary,no,219,yes,no,unknown,5/5/2017,577,1,-1,0,unknown,no
48,self-employed,married,tertiary,no,7,yes,no,unknown,5/5/2017,286,1,-1,0,unknown,no
44,blue-collar,married,secondary,no,575,yes,no,unknown,5/5/2017,477,1,-1,0,unknown,no
35,student,single,unknown,no,298,yes,no,unknown,5/5/2017,611,2,-1,0,unknown,no
35,services,married,secondary,no,0,yes,no,unknown,5/5/2017,471,1,-1,0,unknown,no
50,services,married,secondary,no,5699,yes,no,unknown,5/5/2017,381,2,-1,0,unknown,no
41,management,married,tertiary,no,176,yes,yes,unknown,5/5/2017,42,1,-1,0,unknown,no
41,management,married,tertiary,no,517,yes,no,unknown,5/5/2017,251,1,-1,0,unknown,no
39,services,single,unknown,no,257,yes,no,unknown,5/5/2017,408,1,-1,0,unknown,no
42,retired,married,secondary,no,56,yes,no,unknown,5/5/2017,215,1,-1,0,unknown,no
38,blue-collar,married,secondary,no,-390,yes,no,unknown,5/5/2017,287,1,-1,0,unknown,no
53,retired,married,secondary,no,330,yes,no,unknown,5/5/2017,216,2,-1,0,unknown,no
59,housemaid,divorced,primary,no,195,no,no,unknown,5/5/2017,366,2,-1,0,unknown,no
36,services,married,secondary,no,301,yes,no,unknown,5/5/2017,210,1,-1,0,unknown,no
54,blue-collar,married,primary,no,-41,yes,no,unknown,5/5/2017,288,1,-1,0,unknown,no
40,technician,married,tertiary,no,483,yes,no,unknown,5/5/2017,168,1,-1,0,unknown,no
47,unknown,married,unknown,no,28,no,no,unknown,5/5/2017,338,2,-1,0,unknown,no
53,unemployed,married,unknown,no,13,no,no,unknown,5/5/2017,410,3,-1,0,unknown,no
46,housemaid,married,primary,no,965,no,no,unknown,5/5/2017,177,1,-1,0,unknown,no
39,management,married,tertiary,no,378,yes,yes,unknown,5/5/2017,127,2,-1,0,unknown,no
40,unemployed,married,secondary,no,219,yes,no,unknown,5/5/2017,357,1,-1,0,unknown,no
28,blue-collar,married,primary,no,324,yes,no,unknown,5/5/2017,175,1,-1,0,unknown,no
35,entrepreneur,divorced,secondary,no,-69,yes,no,unknown,5/5/2017,300,1,-1,0,unknown,no
55,retired,married,secondary,no,0,no,yes,unknown,5/5/2017,136,1,-1,0,unknown,no
43,technician,divorced,unknown,no,205,yes,no,unknown,5/5/2017,1419,1,-1,0,unknown,no
48,blue-collar,married,primary,no,278,yes,no,unknown,5/5/2017,125,2,-1,0,unknown,no
58,management,married,unknown,no,1065,yes,no,unknown,5/5/2017,213,3,-1,0,unknown,no
33,management,single,tertiary,no,34,yes,no,unknown,5/5/2017,27,1,-1,0,unknown,no
36,blue-collar,married,unknown,no,1033,no,no,unknown,5/5/2017,238,2,-1,0,unknown,no
53,services,divorced,secondary,no,1467,yes,no,unknown,5/5/2017,124,1,-1,0,unknown,no
47,blue-collar,married,primary,no,-12,yes,no,unknown,5/5/2017,18,1,-1,0,unknown,no
31,services,married,secondary,no,388,yes,no,unknown,5/5/2017,730,2,-1,0,unknown,no
57,entrepreneur,married,secondary,no,294,yes,no,unknown,5/5/2017,746,2,-1,0,unknown,no
53,blue-collar,married,unknown,no,1827,no,no,unknown,5/5/2017,121,1,-1,0,unknown,no
55,blue-collar,married,primary,no,627,yes,no,unknown,5/5/2017,247,1,-1,0,unknown,no
45,blue-collar,married,primary,no,25,yes,no,unknown,5/5/2017,40,1,-1,0,unknown,no
53,admin.,divorced,secondary,no,315,yes,no,unknown,5/5/2017,181,2,-1,0,unknown,no
37,blue-collar,married,primary,no,0,yes,no,unknown,5/5/2017,79,1,-1,0,unknown,no
44,admin.,divorced,secondary,no,66,yes,no,unknown,5/5/2017,206,1,-1,0,unknown,no
49,blue-collar,divorced,primary,no,-9,yes,yes,unknown,5/5/2017,389,1,-1,0,unknown,no
46,technician,married,secondary,no,349,yes,yes,unknown,5/5/2017,127,1,-1,0,unknown,no
43,entrepreneur,married,unknown,no,100,yes,no,unknown,5/5/2017,702,1,-1,0,unknown,no
38,admin.,married,secondary,no,0,no,no,unknown,5/5/2017,151,1,-1,0,unknown,no
43,technician,married,secondary,no,434,yes,no,unknown,5/5/2017,117,1,-1,0,unknown,no
49,management,married,tertiary,no,3237,yes,no,unknown,5/5/2017,232,3,-1,0,unknown,no
42,management,married,unknown,no,275,no,no,unknown,5/5/2017,408,2,-1,0,unknown,no
22,blue-collar,single,secondary,no,0,yes,no,unknown,5/5/2017,179,2,-1,0,unknown,no
40,management,married,tertiary,no,207,yes,no,unknown,5/5/2017,39,1,-1,0,unknown,no
39,blue-collar,married,secondary,no,483,yes,no,unknown,5/5/2017,282,1,-1,0,unknown,no
51,services,married,secondary,no,2248,yes,no,unknown,5/5/2017,714,2,-1,0,unknown,no
49,admin.,married,secondary,no,428,yes,no,unknown,5/5/2017,50,1,-1,0,unknown,no
53,blue-collar,married,secondary,no,0,yes,yes,unknown,5/5/2017,181,1,-1,0,unknown,no
34,services,single,secondary,no,0,yes,no,unknown,5/5/2017,142,1,-1,0,unknown,no
33,technician,divorced,secondary,no,140,yes,no,unknown,5/5/2017,227,1,-1,0,unknown,no
50,management,single,tertiary,no,297,yes,no,unknown,5/5/2017,119,1,-1,0,unknown,no
39,blue-collar,married,primary,no,279,yes,no,unknown,5/5/2017,361,1,-1,0,unknown,no
59,entrepreneur,divorced,secondary,no,901,yes,no,unknown,5/5/2017,73,3,-1,0,unknown,no
30,technician,single,secondary,no,2573,yes,no,unknown,5/5/2017,67,2,-1,0,unknown,no
36,services,married,secondary,no,143,yes,yes,unknown,5/5/2017,350,1,-1,0,unknown,no
40,blue-collar,married,secondary,no,475,yes,no,unknown,5/5/2017,332,2,-1,0,unknown,no
53,blue-collar,married,secondary,no,70,yes,no,unknown,5/5/2017,611,2,-1,0,unknown,no
34,management,single,tertiary,no,318,yes,no,unknown,5/5/2017,113,2,-1,0,unknown,no
37,technician,married,secondary,no,275,yes,no,unknown,5/5/2017,132,1,-1,0,unknown,no
42,management,divorced,tertiary,no,742,yes,no,unknown,5/5/2017,58,3,-1,0,unknown,no
41,entrepreneur,married,primary,no,236,yes,no,unknown,5/5/2017,151,1,-1,0,unknown,no
30,student,single,tertiary,no,25,yes,no,unknown,5/5/2017,89,2,-1,0,unknown,no
37,management,single,tertiary,no,600,yes,no,unknown,5/5/2017,152,1,-1,0,unknown,no
39,admin.,divorced,secondary,no,-349,yes,no,unknown,5/5/2017,611,2,-1,0,unknown,no
41,blue-collar,married,primary,no,183,yes,yes,unknown,5/5/2017,110,2,-1,0,unknown,no
40,blue-collar,married,primary,no,0,yes,no,unknown,5/5/2017,463,1,-1,0,unknown,no
42,management,single,tertiary,no,0,yes,yes,unknown,5/5/2017,562,2,-1,0,unknown,yes
40,blue-collar,divorced,primary,no,0,yes,no,unknown,5/5/2017,962,1,-1,0,unknown,no
57,technician,married,secondary,no,1078,yes,no,unknown,5/5/2017,10,4,-1,0,unknown,no
56,entrepreneur,divorced,secondary,no,155,no,no,unknown,5/5/2017,118,3,-1,0,unknown,no
37,admin.,married,secondary,no,190,yes,no,unknown,5/5/2017,92,2,-1,0,unknown,no
59,retired,married,secondary,no,319,yes,no,unknown,5/5/2017,143,3,-1,0,unknown,no
39,services,divorced,secondary,no,-185,yes,no,unknown,5/5/2017,189,3,-1,0,unknown,no
49,services,married,secondary,no,47,no,no,unknown,5/5/2017,234,2,-1,0,unknown,no
38,services,single,secondary,no,570,yes,no,unknown,5/5/2017,75,2,-1,0,unknown,no
36,self-employed,married,tertiary,no,19,no,no,unknown,5/5/2017,189,2,-1,0,unknown,no
50,blue-collar,married,primary,no,61,yes,no,unknown,5/5/2017,621,3,-1,0,unknown,no
41,admin.,married,secondary,no,-62,yes,yes,unknown,5/5/2017,55,2,-1,0,unknown,no
54,technician,married,tertiary,no,258,no,no,unknown,5/5/2017,310,4,-1,0,unknown,no
58,blue-collar,married,primary,no,76,yes,no,unknown,5/5/2017,156,2,-1,0,unknown,no
30,blue-collar,single,secondary,no,0,yes,no,unknown,5/5/2017,5,2,-1,0,unknown,no
33,admin.,single,secondary,no,352,yes,no,unknown,5/5/2017,225,2,-1,0,unknown,no
47,admin.,married,secondary,no,368,yes,no,unknown,5/5/2017,125,2,-1,0,unknown,no
50,technician,single,tertiary,no,339,yes,no,unknown,5/5/2017,2,3,-1,0,unknown,no
32,blue-collar,married,secondary,no,1331,yes,no,unknown,5/5/2017,286,2,-1,0,unknown,no
40,self-employed,married,secondary,no,672,yes,no,unknown,5/5/2017,164,2,-1,0,unknown,no
37,management,married,tertiary,no,58,yes,no,unknown,5/5/2017,98,2,-1,0,unknown,no
54,technician,single,unknown,no,447,yes,no,unknown,5/5/2017,742,2,-1,0,unknown,no
24,student,single,secondary,no,423,yes,no,unknown,5/5/2017,226,3,-1,0,unknown,no
